Reopned,Lowest,Highest,Final,Change_Amount,Change_Percent,Date_Miladi,Date_Jalali
"197,621,000","187,731,000","197,711,000","197,621,000",50000,0.03%,2026/07/23,1405/05/01
"197,661,000","184,391,000","197,711,000","197,671,000",30000,0.02%,2026/07/22,1405/04/31
"197,671,000","182,721,000","197,711,000","197,701,000",70000,0.04%,2026/07/21,1405/04/30
"197,631,000","181,161,000","197,711,000","197,631,000",70000,0.04%,2026/07/20,1405/04/29
"189,961,000","186,551,000","197,711,000","197,701,000",80000,0.04%,2026/07/19,1405/04/28
"197,621,000","184,821,000","197,711,000","197,621,000",50000,0.03%,2026/07/18,1405/04/27
"197,711,000","182,961,000","197,711,000","197,671,000",50000,0.03%,2026/07/17,1405/04/26
"197,631,000","182,261,000","197,711,000","197,621,000",70000,0.04%,2026/07/16,1405/04/25
"197,691,000","178,691,000","197,711,000","197,691,000",10000,0.01%,2026/07/15,1405/04/24
"197,631,000","176,461,000","197,711,000","197,701,000",21190000,12%,2026/07/14,1405/04/23
"197,691,000","175,651,000","197,711,000","176,511,000",21160000,11.99%,2026/07/13,1405/04/22
"197,651,000","175,561,000","197,711,000","197,671,000",22040000,12.55%,2026/07/12,1405/04/21
"197,621,000","175,181,000","197,711,000","175,631,000",1400000,0.8%,2026/07/11,1405/04/20
"197,691,000","176,561,000","197,711,000","177,031,000",20600000,11.64%,2026/07/10,1405/04/19
"197,651,000","178,491,000","197,711,000","197,631,000",19050000,10.67%,2026/07/09,1405/04/18
"197,701,000","177,191,000","197,711,000","178,581,000",19050000,10.67%,2026/07/08,1405/04/17
"177,431,000","176,301,000","197,711,000","197,631,000",-,-,2026/07/07,1405/04/16
"197,711,000","177,281,000","197,711,000","197,631,000",19850000,11.17%,2026/07/06,1405/04/15
"197,631,000","176,431,000","197,711,000","177,781,000",19850000,11.17%,2026/07/05,1405/04/14
"197,621,000","176,351,000","197,711,000","197,631,000",19390000,10.88%,2026/07/04,1405/04/13
"197,631,000","176,111,000","197,711,000","178,241,000",19440000,10.91%,2026/07/03,1405/04/12
"197,631,000","171,241,000","197,711,000","197,681,000",25970000,15.12%,2026/07/02,1405/04/11
"169,451,000","169,201,000","197,711,000","171,711,000",25920000,15.1%,2026/07/01,1405/04/10
"197,631,000","167,711,000","197,711,000","197,631,000",60000,0.03%,2026/06/30,1405/04/09
"197,691,000","167,641,000","197,711,000","197,691,000",10000,0.01%,2026/06/29,1405/04/08
"165,041,000","164,951,000","197,711,000","197,701,000",32720000,19.83%,2026/06/28,1405/04/07
"162,731,000","162,651,000","165,501,000","164,981,000",2260000,1.39%,2026/06/27,1405/04/06
"162,371,000","162,081,000","162,981,000","162,721,000",250000,0.15%,2026/06/26,1405/04/05
"161,681,000","161,501,000","162,501,000","162,471,000",820000,0.51%,2026/06/25,1405/04/04
"161,481,000","161,171,000","163,111,000","161,651,000",160000,0.1%,2026/06/24,1405/04/03
"160,931,000","160,091,000","161,871,000","161,811,000",980000,0.61%,2026/06/23,1405/04/02
"161,841,000","160,151,000","162,121,000","160,831,000",1100000,0.68%,2026/06/22,1405/04/01
"162,481,000","159,741,000","162,841,000","161,931,000",470000,0.29%,2026/06/21,1405/03/31
"161,401,000","161,331,000","164,851,000","162,401,000",1050000,0.65%,2026/06/20,1405/03/30
"159,091,000","158,841,000","162,091,000","161,351,000",2340000,1.47%,2026/06/19,1405/03/29
"164,161,000","158,801,000","164,171,000","159,011,000",5070000,3.19%,2026/06/18,1405/03/28
"158,611,000","156,621,000","164,251,000","164,081,000",5400000,3.4%,2026/06/17,1405/03/27
"163,981,000","154,771,000","164,671,000","158,681,000",5740000,3.62%,2026/06/16,1405/03/26
"175,251,000","163,701,000","197,711,000","164,421,000",10910000,6.64%,2026/06/15,1405/03/25
"197,681,000","171,401,000","197,711,000","175,331,000",22290000,12.71%,2026/06/14,1405/03/24
"197,621,000","171,381,000","197,711,000","197,621,000",21700000,12.34%,2026/06/13,1405/03/23
"180,491,000","175,711,000","197,711,000","175,921,000",21700000,12.34%,2026/06/12,1405/03/22
"197,621,000","179,311,000","197,711,000","197,621,000",50000,0.03%,2026/06/11,1405/03/21
"197,671,000","179,131,000","197,711,000","197,671,000",40000,0.02%,2026/06/10,1405/03/20
"197,631,000","180,221,000","197,711,000","197,711,000",20000,0.01%,2026/06/09,1405/03/19
"197,631,000","180,491,000","197,711,000","197,691,000",20000,0.01%,2026/06/08,1405/03/18
"197,661,000","181,451,000","197,711,000","197,711,000",80000,0.04%,2026/06/07,1405/03/17
"197,631,000","180,901,000","197,711,000","197,631,000",-,-,2026/06/06,1405/03/16
"197,681,000","182,011,000","197,711,000","197,631,000",70000,0.04%,2026/06/05,1405/03/15
"183,801,000","183,071,000","197,711,000","197,701,000",30000,0.02%,2026/06/04,1405/03/14
"197,631,000","183,201,000","197,711,000","197,671,000",40000,0.02%,2026/06/03,1405/03/13
"197,711,000","183,621,000","197,711,000","197,631,000",40000,0.02%,2026/06/02,1405/03/12
"197,711,000","182,871,000","197,711,000","197,671,000",10000,0.01%,2026/06/01,1405/03/11
"197,631,000","180,491,000","197,711,000","197,681,000",10000,0.01%,2026/05/31,1405/03/10
"197,701,000","180,591,000","197,711,000","197,671,000",20000,0.01%,2026/05/30,1405/03/09
"197,691,000","180,601,000","197,711,000","197,651,000",30000,0.02%,2026/05/29,1405/03/08
"197,661,000","182,121,000","197,711,000","197,621,000",-,-,2026/05/28,1405/03/07
"197,671,000","182,841,000","197,711,000","197,621,000",70000,0.04%,2026/05/27,1405/03/06
"197,671,000","183,091,000","197,711,000","197,691,000",60000,0.03%,2026/05/26,1405/03/05
"197,671,000","183,441,000","197,711,000","197,631,000",50000,0.03%,2026/05/25,1405/03/04
